Awnday Ar'iemay|Staff of the Magi
Amelda Bacoulan|
Sarria Bagada|
Lysiandra Bo'javarian|
Verago Brystar|+3 vs. Dragon Breath (Cloak of the Blue Dragon);+6 vs. Blue Dragon Breath (Cloak of the Blue Dragon)
Presolia Copturan|Ring of Protection +1;Cloak of Displacement;+2 vs. Water Based Attacks (Ring of Water Elemental Command);-2 vs. Lightning/Electricity Based Attacks (Ring of Water Elemental Command)
Rojeana Decant|Cloak of Displacement
Ryceva Derman|Ring of Protection +1
Myleara Disstar|
Oalirya Disstar|Ring of Protection +2
Visilma Do'ranicy|
Lourijul Edyara|Ring of Protection +2
Faerinna Escar|Bracelet of Protection +3
Matea Fi'nashari|
Tymara Fi'ranicy|
Janily Flassur|+2 vs. Water Spells (Specialist)
Olacadas Flyglee|Ring of Protection +2
Nemidia Ge'mardian|
Tandria Goldmoon|
Rechrapee Hardimod|
Xyrena Hewlett-Packard-Bell|
Ulari Ilan|Ring of Protection +2;1/2 dmg from magical fire/cold and 1/4 when saved
Summerica Jammic|
Rajnilia Al-Afyali bint Jazar|Cloak of Protection +2;+2 vs. Water Based Attacks (Sha'ira)
Balnari Ka'natrian|Robe of Stars
Niona Kilson|
Myra Kyllia|Poison: N/A;Polymorph: N/A
Risa Kyllia|
Sorack Linsandin'viniar|
Zamia Lo'rena|
Desolenna Marder'bastiar|
Driastan Marder'bastiar|
Nwadira Mazan|Ring of Protection +4/+2;Staff of the Magi;+2 vs. Wild Magic Spells (Wild Mage)
Lestra Newmoon|Ring of Protection +2;+1 vs. Death Magic (Priestess of Kelemvor)
Carri Notha|Ring of Protection +2
Alexana Olara|Arm of Valor
Eileen Olara|Arm of Valor
Ducismetapopolis OreGrinder|Ring of Protection +2;+2 vs. Earth Spells (Earth Elementalist)
Lamaria Peacyle|
Yenedra Peacyle|
Bryzarlyn Qi'lanari|
Tanyani Qi'mardian|
Ejenna Quara|
Patrina Meysa Rast|
Artis Sadir|
Hylene Serill|
Calsanna Sorlastryl|
Ducolin StoneGrip|
Drianna StrongOak-Guard|Ring of Protection +5;Staff of the Magi;Staff of Power;Cloak of Displacement
Amori Tamdenar|
Wijora Urlubint|
Aegyn Valchae|Ring of Protection +3
Handira Warnir|
Elora Windblown|Ring of Protection +2;Robe of the Archmagi;Staff of the Magi
Inary Xeru|Ring of Protection +3
Eshandra Yanraya|
Aztema Zavgar|
Kymaria Zendelic'tronyara|
